Time,System Production (W)
31/08/2020 00:00,0
31/08/2020 00:15,0
31/08/2020 00:30,0
31/08/2020 00:45,0
31/08/2020 01:00,0
31/08/2020 01:15,0
31/08/2020 01:30,0
31/08/2020 01:45,0
31/08/2020 02:00,0
31/08/2020 02:15,0
31/08/2020 02:30,0
31/08/2020 02:45,0
31/08/2020 03:00,0
31/08/2020 03:15,0
31/08/2020 03:30,0
31/08/2020 03:45,0
31/08/2020 04:00,0
31/08/2020 04:15,0
31/08/2020 04:30,0
31/08/2020 04:45,0
31/08/2020 05:00,0
31/08/2020 05:15,0
31/08/2020 05:30,0
31/08/2020 05:45,0
31/08/2020 06:00,0
31/08/2020 06:15,0
31/08/2020 06:30,0
31/08/2020 06:45,0
31/08/2020 07:00,0
31/08/2020 07:15,0
31/08/2020 07:30,0
31/08/2020 07:45,0
31/08/2020 08:00,0
31/08/2020 08:15,0
31/08/2020 08:30,0
31/08/2020 08:45,0
31/08/2020 09:00,0
31/08/2020 09:15,0
31/08/2020 09:30,0
31/08/2020 09:45,0
31/08/2020 10:00,0
31/08/2020 10:15,0
31/08/2020 10:30,0
31/08/2020 10:45,0
31/08/2020 11:00,0
31/08/2020 11:15,0
31/08/2020 11:30,0
31/08/2020 11:45,0
31/08/2020 12:00,0
31/08/2020 12:15,0
31/08/2020 12:30,0
31/08/2020 12:45,0
31/08/2020 13:00,0
31/08/2020 13:15,0
31/08/2020 13:30,0
31/08/2020 13:45,0
31/08/2020 14:00,0
31/08/2020 14:15,0
31/08/2020 14:30,0
31/08/2020 14:45,0
31/08/2020 15:00,0
31/08/2020 15:15,0
31/08/2020 15:30,0
31/08/2020 15:45,0
31/08/2020 16:00,0
31/08/2020 16:15,0
31/08/2020 16:30,0
31/08/2020 16:45,0
31/08/2020 17:00,0
31/08/2020 17:15,0
31/08/2020 17:30,0
31/08/2020 17:45,0
31/08/2020 18:00,0
31/08/2020 18:15,0
31/08/2020 18:30,0
31/08/2020 18:45,0
31/08/2020 19:00,0
31/08/2020 19:15,0
31/08/2020 19:30,0
31/08/2020 19:45,0
31/08/2020 20:00,0
31/08/2020 20:15,0
31/08/2020 20:30,0
31/08/2020 20:45,0
31/08/2020 21:00,0
31/08/2020 21:15,0
31/08/2020 21:30,0
31/08/2020 21:45,0
31/08/2020 22:00,0
31/08/2020 22:15,0
31/08/2020 22:30,0
31/08/2020 22:45,0
31/08/2020 23:00,0
31/08/2020 23:15,0
31/08/2020 23:30,0
31/08/2020 23:45,0
01/09/2020 00:00,0
01/09/2020 00:15,0
01/09/2020 00:30,0
01/09/2020 00:45,0
01/09/2020 01:00,0
01/09/2020 01:15,0
01/09/2020 01:30,0
01/09/2020 01:45,0
01/09/2020 02:00,0
01/09/2020 02:15,0
01/09/2020 02:30,0
01/09/2020 02:45,0
01/09/2020 03:00,0
01/09/2020 03:15,0
01/09/2020 03:30,0
01/09/2020 03:45,0
01/09/2020 04:00,0
01/09/2020 04:15,0
01/09/2020 04:30,0
01/09/2020 04:45,0
01/09/2020 05:00,0
01/09/2020 05:15,0
01/09/2020 05:30,0
01/09/2020 05:45,0
01/09/2020 06:00,0
01/09/2020 06:15,0
01/09/2020 06:30,0
01/09/2020 06:45,0
01/09/2020 07:00,0
01/09/2020 07:15,0
01/09/2020 07:30,0
01/09/2020 07:45,0
01/09/2020 08:00,0
01/09/2020 08:15,0
01/09/2020 08:30,0
01/09/2020 08:45,0
01/09/2020 09:00,0
01/09/2020 09:15,0
01/09/2020 09:30,0
01/09/2020 09:45,0
01/09/2020 10:00,0
01/09/2020 10:15,0
01/09/2020 10:30,0
01/09/2020 10:45,0
01/09/2020 11:00,0
01/09/2020 11:15,0
01/09/2020 11:30,0
01/09/2020 11:45,0
01/09/2020 12:00,0
01/09/2020 12:15,0
01/09/2020 12:30,0
01/09/2020 12:45,11347
01/09/2020 13:00,15096.667
01/09/2020 13:15,12146.667
01/09/2020 13:30,6554.6665
01/09/2020 13:45,13961.333
01/09/2020 14:00,11083
01/09/2020 14:15,7694.6665
01/09/2020 14:30,15926.333
01/09/2020 14:45,14036.333
01/09/2020 15:00,3877.6667
01/09/2020 15:15,3912.6667
01/09/2020 15:30,3150.3333
01/09/2020 15:45,3860.6667
01/09/2020 16:00,3518.6667
01/09/2020 16:15,2845.3333
01/09/2020 16:30,2309.6667
01/09/2020 16:45,2078.3333
01/09/2020 17:00,2358.6667
01/09/2020 17:15,1810.3334
01/09/2020 17:30,1473.6666
01/09/2020 17:45,1385.3334
01/09/2020 18:00,1232.6666
01/09/2020 18:15,676.6667
01/09/2020 18:30,688.6667
01/09/2020 18:45,573.3333
01/09/2020 19:00,302.6667
01/09/2020 19:15,53.3333
01/09/2020 19:30,9.3333
01/09/2020 19:45,0
01/09/2020 20:00,0
01/09/2020 20:15,0
01/09/2020 20:30,0
01/09/2020 20:45,0
01/09/2020 21:00,0
01/09/2020 21:15,0
01/09/2020 21:30,0
01/09/2020 21:45,0
01/09/2020 22:00,0
01/09/2020 22:15,0
01/09/2020 22:30,0
01/09/2020 22:45,0
01/09/2020 23:00,0
01/09/2020 23:15,0
01/09/2020 23:30,0
01/09/2020 23:45,0
02/09/2020 00:00,0
02/09/2020 00:15,0
02/09/2020 00:30,0
02/09/2020 00:45,0
02/09/2020 01:00,0
02/09/2020 01:15,0
02/09/2020 01:30,0
02/09/2020 01:45,0
02/09/2020 02:00,0
02/09/2020 02:15,0
02/09/2020 02:30,0
02/09/2020 02:45,0
02/09/2020 03:00,0
02/09/2020 03:15,0
02/09/2020 03:30,0
02/09/2020 03:45,0
02/09/2020 04:00,0
02/09/2020 04:15,0
02/09/2020 04:30,0
02/09/2020 04:45,0
02/09/2020 05:00,0
02/09/2020 05:15,0
02/09/2020 05:30,0
02/09/2020 05:45,0
02/09/2020 06:00,0.6667
02/09/2020 06:15,281
02/09/2020 06:30,805
02/09/2020 06:45,1195
02/09/2020 07:00,1333.6666
02/09/2020 07:15,1474.6666
02/09/2020 07:30,2008
02/09/2020 07:45,2601.3333
02/09/2020 08:00,3416.6667
02/09/2020 08:15,2659.3333
02/09/2020 08:30,2559.3333
02/09/2020 08:45,3200.6667
02/09/2020 09:00,3796
02/09/2020 09:15,6577.6665
02/09/2020 09:30,8320.333
02/09/2020 09:45,6917
02/09/2020 10:00,8737.333
